target_gene,n_perturbed_cells,n_control_cells,mean_ps,median_ps,pct_high_ps,pct_successful_kd,pct_escaper,pct_non_responder,pct_low_signal,pct_controls_called_kd,net_pct_kd,expression_cut,expression_cut_method,log2fc_ntc,is_hit_ntc
TARGET0,30,300,0.4993848204612732,0.4396958351135254,43.333333333333336,43.333333333333336,0.0,0.0,56.666666666666664,1.3333333333333335,42.0,0.7702722899119059,mean,-7.160182392196953,True
TARGET5,30,300,0.4970230162143707,0.5122278332710266,50.0,43.333333333333336,6.666666666666667,23.333333333333332,26.666666666666668,1.6666666666666667,41.66666666666667,0.7748206682999929,mean,-0.31312247798993287,False
TARGET1,30,300,0.5126788020133972,0.4606497585773468,36.666666666666664,36.666666666666664,0.0,0.0,63.33333333333333,3.0,33.666666666666664,0.8089783847332,mean,-7.273907308595661,True
TARGET2,30,300,0.4752488434314728,0.4773196578025818,50.0,33.33333333333333,16.666666666666664,13.333333333333334,36.666666666666664,3.3333333333333335,29.999999999999996,0.7876324212551117,mean,-0.22995023822145938,False
TARGET4,30,300,0.528484046459198,0.5396167635917664,53.333333333333336,30.0,23.333333333333332,16.666666666666664,30.0,1.6666666666666667,28.333333333333332,0.7661402664581934,mean,-0.0455517668858255,False
TARGET3,30,300,0.5421820282936096,0.5377978086471558,56.666666666666664,26.666666666666668,30.0,33.33333333333333,10.0,2.3333333333333335,24.333333333333336,0.7891745915015539,mean,0.2922907245337524,False
TARGET6,30,300,0.5156553387641907,0.5539571642875671,60.0,26.666666666666668,33.33333333333333,10.0,30.0,3.0,23.666666666666668,0.8089704988400142,mean,-0.1418364953174872,False
TARGET9,30,300,0.47726163268089294,0.4580070972442627,43.333333333333336,26.666666666666668,16.666666666666664,36.666666666666664,20.0,2.0,24.666666666666668,0.783807409008344,mean,0.13000082220405726,False
TARGET8,30,300,0.4568157196044922,0.43533194065093994,43.333333333333336,20.0,23.333333333333332,36.666666666666664,20.0,3.3333333333333335,16.666666666666668,0.8390690461794535,mean,0.27311810880985815,False
TARGET7,30,300,0.426998496055603,0.457189679145813,33.33333333333333,13.333333333333334,20.0,23.333333333333332,43.333333333333336,1.0,12.333333333333334,0.8686968559026718,mean,-0.34712137287325867,False
