target_gene,0,1,10,11,12,13,2,3,4,5,6,7,8,9
TARGET0,0.90476197,-1.0,1.3809525,0.6666667,0.42857146,,,0.42857146,-0.28571427,,0.0714286,0.42857146,-0.28571427,
TARGET1,-0.28571427,1.0,1.1428572,0.14285716,1.8571429,0.42857146,,-1.0,-0.047619026,1.8571429,-1.0,0.42857146,-1.0,
TARGET2,-0.28571427,0.22448982,,-0.047619026,-1.0,0.0714286,-0.28571427,-1.0,0.42857146,,-0.28571427,-1.0,0.42857146,-1.0
TARGET3,2.3333333,-1.0,1.1428572,-0.047619026,0.90476185,-1.0,0.42857146,1.1428572,-0.047619026,-1.0,1.8571428,0.42857146,0.42857146,-1.0
TARGET4,,0.42857146,-0.28571427,0.42857146,0.42857146,1.3809524,-0.64285713,0.42857146,,,-1.0,-0.047619026,-0.28571427,-0.047619026
TARGET5,0.42857146,-0.28571427,0.42857146,-1.0,-1.0,-0.28571427,-0.28571427,1.3809524,0.14285716,0.07142854,,-1.0,0.42857146,-1.0
TARGET6,-0.28571427,-0.5238095,-1.0,-0.14285712,-1.0,,-0.28571427,-1.0,1.3809524,1.8571429,-1.0,0.42857146,-0.14285712,
TARGET7,0.42857146,0.14285716,0.42857146,-1.0,-0.5238095,0.42857146,-0.5238095,-0.28571427,-1.0,,-1.0,,-0.047619026,-0.5238095
TARGET8,,0.0714286,-0.64285713,-1.0,-1.0,-1.0,-0.28571427,-0.64285713,0.42857146,-1.0,,0.42857146,-0.28571427,-0.28571427
TARGET9,-0.28571427,1.1428572,-1.0,0.14285716,-1.0,-0.28571427,-1.0,1.3809524,,-1.0,1.8571429,-1.0,0.90476197,
