target_gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13
TARGET0,10.0,6.666666666666667,0.0,6.666666666666667,6.666666666666667,0.0,13.333333333333334,6.666666666666667,6.666666666666667,0.0,10.0,20.0,13.333333333333334,0.0
TARGET1,13.333333333333334,16.666666666666664,0.0,6.666666666666667,10.0,6.666666666666667,6.666666666666667,6.666666666666667,3.3333333333333335,0.0,6.666666666666667,16.666666666666664,3.3333333333333335,3.3333333333333335
TARGET2,6.666666666666667,23.333333333333332,6.666666666666667,3.3333333333333335,3.3333333333333335,0.0,6.666666666666667,3.3333333333333335,6.666666666666667,10.0,0.0,10.0,6.666666666666667,13.333333333333334
TARGET3,10.0,6.666666666666667,3.3333333333333335,6.666666666666667,10.0,6.666666666666667,6.666666666666667,10.0,3.3333333333333335,3.3333333333333335,6.666666666666667,10.0,10.0,6.666666666666667
TARGET4,0.0,6.666666666666667,13.333333333333334,6.666666666666667,0.0,0.0,6.666666666666667,10.0,6.666666666666667,10.0,13.333333333333334,6.666666666666667,10.0,10.0
TARGET5,3.3333333333333335,13.333333333333334,6.666666666666667,10.0,16.666666666666664,13.333333333333334,0.0,3.3333333333333335,3.3333333333333335,6.666666666666667,3.3333333333333335,10.0,3.3333333333333335,6.666666666666667
TARGET6,6.666666666666667,10.0,13.333333333333334,6.666666666666667,10.0,6.666666666666667,3.3333333333333335,3.3333333333333335,16.666666666666664,0.0,3.3333333333333335,16.666666666666664,3.3333333333333335,0.0
TARGET7,3.3333333333333335,16.666666666666664,10.0,6.666666666666667,6.666666666666667,0.0,10.0,0.0,10.0,10.0,3.3333333333333335,10.0,10.0,3.3333333333333335
TARGET8,0.0,13.333333333333334,6.666666666666667,13.333333333333334,3.3333333333333335,3.3333333333333335,0.0,6.666666666666667,6.666666666666667,6.666666666666667,13.333333333333334,10.0,10.0,6.666666666666667
TARGET9,6.666666666666667,13.333333333333334,3.3333333333333335,10.0,0.0,3.3333333333333335,6.666666666666667,3.3333333333333335,10.0,0.0,3.3333333333333335,16.666666666666664,3.3333333333333335,20.0
